CustomerID	CompanyName	ContactName	ContactTitle	Address	City	Region	PostalCode	Country	Phone	Fax
S:ALFKI	S:Alfreds Futterkiste	S:Maria Anders	S:Sales Representative	S:Obere Str. 57	S:Berlin	~N~	S:12209	S:Germany	S:030-0074321	S:030-0076545
S:ANATR	S:Ana Trujillo Emparedados y helados	S:Ana Trujillo	S:Owner	S:Avda. de la Constitución 2222	S:México D.F.	~N~	S:05021	S:Mexico	S:(5) 555-4729	S:(5) 555-3745
S:ANTON	S:Antonio Moreno Taquería	S:Antonio Moreno	S:Owner	S:Mataderos  2312	S:México D.F.	~N~	S:05023	S:Mexico	S:(5) 555-3932	~N~
S:AROUT	S:Around the Horn	S:Thomas Hardy	S:Sales Representative	S:120 Hanover Sq.	S:London	~N~	S:WA1 1DP	S:UK	S:(171) 555-7788	S:(171) 555-6750
S:BERGS	S:Berglunds snabbköp	S:Christina Berglund	S:Order Administrator	S:Berguvsvägen  8	S:Luleå	~N~	S:S-958 22	S:Sweden	S:0921-12 34 65	S:0921-12 34 67
S:BLAUS	S:Blauer See Delikatessen	S:Hanna Moos	S:Sales Representative	S:Forsterstr. 57	S:Mannheim	~N~	S:68306	S:Germany	S:0621-08460	S:0621-08924
S:BLONP	S:Blondesddsl père et fils	S:Frédérique Citeaux	S:Marketing Manager	S:24, place Kléber	S:Strasbourg	~N~	S:67000	S:France	S:88.60.15.31	S:88.60.15.32
S:BOLID	S:Bólido Comidas preparadas	S:Martín Sommer	S:Owner	S:C/ Araquil, 67	S:Madrid	~N~	S:28023	S:Spain	S:(91) 555 22 82	S:(91) 555 91 99
S:BONAP	S:Bon app'	S:Laurence Lebihan	S:Owner	S:12, rue des Bouchers	S:Marseille	~N~	S:13008	S:France	S:91.24.45.40	S:91.24.45.41
S:BOTTM	S:Bottom-Dollar Markets	S:Elizabeth Lincoln	S:Accounting Manager	S:23 Tsawassen Blvd.	S:Tsawassen	S:BC	S:T2F 8M4	S:Canada	S:(604) 555-4729	S:(604) 555-3745
S:BSBEV	S:B's Beverages	S:Victoria Ashworth	S:Sales Representative	S:Fauntleroy Circus	S:London	~N~	S:EC2 5NT	S:UK	S:(171) 555-1212	~N~
S:CACTU	S:Cactus Comidas para llevar	S:Patricio Simpson	S:Sales Agent	S:Cerrito 333	S:Buenos Aires	~N~	S:1010	S:Argentina	S:(1) 135-5555	S:(1) 135-4892
S:CENTC	S:Centro comercial Moctezuma	S:Francisco Chang	S:Marketing Manager	S:Sierras de Granada 9993	S:México D.F.	~N~	S:05022	S:Mexico	S:(5) 555-3392	S:(5) 555-7293
S:CHOPS	S:Chop-suey Chinese	S:Yang Wang	S:Owner	S:Hauptstr. 29	S:Bern	~N~	S:3012	S:Switzerland	S:0452-076545	~N~
S:COMMI	S:Comércio Mineiro	S:Pedro Afonso	S:Sales Associate	S:Av. dos Lusíadas, 23	S:Sao Paulo	S:SP	S:05432-043	S:Brazil	S:(11) 555-7647	~N~
S:CONSH	S:Consolidated Holdings	S:Elizabeth Brown	S:Sales Representative	S:Berkeley Gardens 12  Brewery	S:London	~N~	S:WX1 6LT	S:UK	S:(171) 555-2282	S:(171) 555-9199
S:DRACD	S:Drachenblut Delikatessen	S:Sven Ottlieb	S:Order Administrator	S:Walserweg 21	S:Aachen	~N~	S:52066	S:Germany	S:0241-039123	S:0241-059428
S:DUMON	S:Du monde entier	S:Janine Labrune	S:Owner	S:67, rue des Cinquante Otages	S:Nantes	~N~	S:44000	S:France	S:40.67.88.88	S:40.67.89.89
S:EASTC	S:Eastern Connection	S:Ann Devon	S:Sales Agent	S:35 King George	S:London	~N~	S:WX3 6FW	S:UK	S:(171) 555-0297	S:(171) 555-3373
S:ERNSH	S:Ernst Handel	S:Roland Mendel	S:Sales Manager	S:Kirchgasse 6	S:Graz	~N~	S:8010	S:Austria	S:7675-3425	S:7675-3426
S:FAMIA	S:Familia Arquibaldo	S:Aria Cruz	S:Marketing Assistant	S:Rua Orós, 92	S:Sao Paulo	S:SP	S:05442-030	S:Brazil	S:(11) 555-9857	~N~
S:FISSA	S:FISSA Fabrica Inter. Salchichas S.A.	S:Diego Roel	S:Accounting Manager	S:C/ Moralzarzal, 86	S:Madrid	~N~	S:28034	S:Spain	S:(91) 555 94 44	S:(91) 555 55 93
S:FOLIG	S:Folies gourmandes	S:Martine Rancé	S:Assistant Sales Agent	S:184, chaussée de Tournai	S:Lille	~N~	S:59000	S:France	S:20.16.10.16	S:20.16.10.17
S:FOLKO	S:Folk och fä HB	S:Maria Larsson	S:Owner	S:Åkergatan 24	S:Bräcke	~N~	S:S-844 67	S:Sweden	S:0695-34 67 21	~N~
S:FRANK	S:Frankenversand	S:Peter Franken	S:Marketing Manager	S:Berliner Platz 43	S:München	~N~	S:80805	S:Germany	S:089-0877310	S:089-0877451
S:FRANR	S:France restauration	S:Carine Schmitt	S:Marketing Manager	S:54, rue Royale	S:Nantes	~N~	S:44000	S:France	S:40.32.21.21	S:40.32.21.20
S:FRANS	S:Franchi S.p.A.	S:Paolo Accorti	S:Sales Representative	S:Via Monte Bianco 34	S:Torino	~N~	S:10100	S:Italy	S:011-4988260	S:011-4988261
S:FURIB	S:Furia Bacalhau e Frutos do Mar	S:Lino Rodriguez	S:Sales Manager	S:Jardim das rosas n. 32	S:Lisboa	~N~	S:1675	S:Portugal	S:(1) 354-2534	S:(1) 354-2535
S:GALED	S:Galería del gastrónomo	S:Eduardo Saavedra	S:Marketing Manager	S:Rambla de Cataluña, 23	S:Barcelona	~N~	S:08022	S:Spain	S:(93) 203 4560	S:(93) 203 4561
S:GODOS	S:Godos Cocina Típica	S:José Pedro Freyre	S:Sales Manager	S:C/ Romero, 33	S:Sevilla	~N~	S:41101	S:Spain	S:(95) 555 82 82	~N~
S:GOURL	S:Gourmet Lanchonetes	S:André Fonseca	S:Sales Associate	S:Av. Brasil, 442	S:Campinas	S:SP	S:04876-786	S:Brazil	S:(11) 555-9482	~N~
S:GREAL	S:Great Lakes Food Market	S:Howard Snyder	S:Marketing Manager	S:2732 Baker Blvd.	S:Eugene	S:OR	S:97403	S:USA	S:(503) 555-7555	~N~
