Date	Year	MonthNo	Month	QuarterNo	Quarter	Day
T:1996-01-01T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:1
T:1996-01-02T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:2
T:1996-01-03T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:3
T:1996-01-04T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:4
T:1996-01-05T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:5
T:1996-01-06T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:6
T:1996-01-07T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:7
T:1996-01-08T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:8
T:1996-01-09T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:9
T:1996-01-10T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:10
T:1996-01-11T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:11
T:1996-01-12T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:12
T:1996-01-13T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:13
T:1996-01-14T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:14
T:1996-01-15T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:15
T:1996-01-16T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:16
T:1996-01-17T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:17
T:1996-01-18T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:18
T:1996-01-19T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:19
T:1996-01-20T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:20
T:1996-01-21T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:21
T:1996-01-22T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:22
T:1996-01-23T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:23
T:1996-01-24T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:24
T:1996-01-25T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:25
T:1996-01-26T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:26
T:1996-01-27T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:27
T:1996-01-28T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:28
T:1996-01-29T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:29
T:1996-01-30T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:30
T:1996-01-31T00:00:00	I:1996	I:1	S:January	I:1	S:Qtr 1	I:31
T:1996-02-01T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:1
T:1996-02-02T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:2
T:1996-02-03T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:3
T:1996-02-04T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:4
T:1996-02-05T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:5
T:1996-02-06T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:6
T:1996-02-07T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:7
T:1996-02-08T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:8
T:1996-02-09T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:9
T:1996-02-10T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:10
T:1996-02-11T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:11
T:1996-02-12T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:12
T:1996-02-13T00:00:00	I:1996	I:2	S:February	I:1	S:Qtr 1	I:13
