OrderID	CustomerID	EmployeeID	OrderDate	RequiredDate	ShippedDate	ShipVia	Freight	ShipName	ShipAddress	ShipCity	ShipRegion	ShipPostalCode	ShipCountry
I:10249	S:TOMSP	I:6	T:1996-07-05T00:00:00	T:1996-08-16T00:00:00	T:1996-07-10T00:00:00	I:1	F:11.61	S:Toms Spezialitäten	S:Luisenstr. 48	S:Münster	~N~	S:44087	S:Germany
I:10260	S:OTTIK	I:4	T:1996-07-19T00:00:00	T:1996-08-16T00:00:00	T:1996-07-29T00:00:00	I:1	F:55.09	S:Ottilies Käseladen	S:Mehrheimerstr. 369	S:Köln	~N~	S:50739	S:Germany
I:10267	S:FRANK	I:4	T:1996-07-29T00:00:00	T:1996-08-26T00:00:00	T:1996-08-06T00:00:00	I:1	F:208.58	S:Frankenversand	S:Berliner Platz 43	S:München	~N~	S:80805	S:Germany
I:10273	S:QUICK	I:3	T:1996-08-05T00:00:00	T:1996-09-02T00:00:00	T:1996-08-12T00:00:00	I:3	F:76.07	S:QUICK-Stop	S:Taucherstraße 10	S:Cunewalde	~N~	S:01307	S:Germany
I:10277	S:MORGK	I:2	T:1996-08-09T00:00:00	T:1996-09-06T00:00:00	T:1996-08-13T00:00:00	I:3	F:125.77	S:Morgenstern Gesundkost	S:Heerstr. 22	S:Leipzig	~N~	S:04179	S:Germany
I:10279	S:LEHMS	I:8	T:1996-08-13T00:00:00	T:1996-09-10T00:00:00	T:1996-08-16T00:00:00	I:2	F:25.83	S:Lehmanns Marktstand	S:Magazinweg 7	S:Frankfurt a.M.	~N~	S:60528	S:Germany
I:10284	S:LEHMS	I:4	T:1996-08-19T00:00:00	T:1996-09-16T00:00:00	T:1996-08-27T00:00:00	I:1	F:76.56	S:Lehmanns Marktstand	S:Magazinweg 7	S:Frankfurt a.M.	~N~	S:60528	S:Germany
I:10285	S:QUICK	I:1	T:1996-08-20T00:00:00	T:1996-09-17T00:00:00	T:1996-08-26T00:00:00	I:2	F:76.83	S:QUICK-Stop	S:Taucherstraße 10	S:Cunewalde	~N~	S:01307	S:Germany
I:10286	S:QUICK	I:8	T:1996-08-21T00:00:00	T:1996-09-18T00:00:00	T:1996-08-30T00:00:00	I:3	F:229.24	S:QUICK-Stop	S:Taucherstraße 10	S:Cunewalde	~N~	S:01307	S:Germany
I:10301	S:WANDK	I:8	T:1996-09-09T00:00:00	T:1996-10-07T00:00:00	T:1996-09-17T00:00:00	I:2	F:45.08	S:Die Wandernde Kuh	S:Adenauerallee 900	S:Stuttgart	~N~	S:70563	S:Germany
